id,region,sexo,edad,p72,p72_1,p72_1otr,p72_2,p73,p74,p74_1,p74_2,p74_3,p74_4,p74_4_bis,p75_1,p75_2,p75_3,p75_4,p76horas,p76minutos,horas_internet,minutos_internet,p77_1,p77_2,p77_3,p77_4,p77_5,p77_6,p77_7,p77_8,p77_9,p77_10,p78_1,p78_2,p78_3,p78_4,p78_5,p78_1_1,p78_1_2,p78_1_3,p78_1_4,p78_1_5,p78_2b,p78_3b_1,p78_3b,p79_1,p79_2,p79_3,p79_4,p79_5,p79_6,p79_7,p80horas,p80minutos,horas_redes,minutos_redes,p81,p81_1a,p81_1b,p81_1c,p81_1d,p81_1e,p81_1f,p81_1g,p81_1h,p81_1i,p81_1j,p81_1k,p81_1l,p82,p83,p84,p85,p85_1,p85_2,p85_3,p85_3_bis,p86,p87,p88,p89horas,p89minutos,horas_videojuegos,minutos_videojuegos,p90_1,p90_2,p90_3,p90_4,p91,p91_bis,minutos_radio_1,minutos_radio_total,horas_radio_total,minutos_musica_1,minutos_musica_total,horas_musica_total,minutos_diario_1,minutos_diario_total,horas_diario_total,minutos_tv_1,minutos_tv_total,horas_tv_total,minutos_internet_1,minutos_internet_total,horas_internet_total,minutos_redes_1,minutos_redes_total,horas_redes_total,minutos_videojuegos_1,minutos_videojuegos_total,horas_videojuegos_total
11,CENTRO,Varón,18,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,NS/NC,NS/NC,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,3,NO USA,3,NO USA,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NO,NA, ,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,2,0,2,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",FOTOS,VIDEO,,,,,,,,,,,1,NINGUNA,NO,1,SI,NO,NS/NC,NS/NC,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,60,60,1,120,120,2,0,0,0,120,120,2,180,180,3,120,120,2,0,0,0
12,CENTRO,Varón,28,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,NS/NC,NS/NC,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,1,NO USA,1,NO USA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,SI,NO,NO,NO,NO,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,0,15,0,15,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,SI,300,300,NS/NC,NO,NA,,,0,0,NA,NA,NA,NA,,0,420,420,7,420,420,7,0,0,0,240,240,4,60,60,1,0,15,0.25,0,0,0
13,CENTRO,Varón,57,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,850,850,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,1,NO USA,1,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NO,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,NINGUNA,NO,2,SI,SI,LO PAGA MI EMPLEADOR,LO PAGA MI EMPLEADOR,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,0,30,0.5,0,30,0.5,60,60,1,60,60,1,0,0,0,0,0,0
14,CENTRO,Varón,65,NO,PORQUE NO LE GUSTA, ,NO,NO,NA,NA,,NA,,0,NA,NA,NA,NA,,,0,NO USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NA,NA,,,,,,,,,,,,1,NINGUNA,SI,NINGUNO,NA,NA,,0,500,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,60,60,1,0,0,0,0,30,0.5,0,0,0,0,0,0,0,0,0
15,CENTRO,Mujer,16,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,NS/NC,NS/NC,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,4,NO USA,4,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,SI,SI,SI,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NO,NA, ,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,2,0,2,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,NO,NS/NC,NS/NC,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,60,90,1.5,60,90,1.5,0,0,0,60,60,1,240,240,4,120,120,2,0,0,0
16,CENTRO,Mujer,25,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,900,900,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,5,NO USA,5,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,SI,SI,SI,SI,NO,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNOS DIAS POR SEMANA,NA,NO,NA, ,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,5,0,5,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,SI,400,400,0,SI,ALGUNOS DIAS POR SEMANA,1,0,1,0,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,0,0,0,30,0.5,60,60,1,0,0,0,120,120,2,300,300,5,300,300,5,60,60,1
17,CENTRO,Mujer,35,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,NS/NC,NS/NC,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,4,NO USA,4,NO USA,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ CADA 3 MESES,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,4,0,4,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,NINGUNA,SI,2,SI,SI,NS/NC,NS/NC,NS/NC,SI,ALGUNAS VECES AL MES,1,0,1,0,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,NS/NC,NS/NC,60,60,1,120,120,2,0,0,0,120,120,2,240,240,4,240,240,4,60,60,1
18,CENTRO,Mujer,53,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,600,600,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,5,NO USA,5,NO USA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,SI,SI,NO,SI,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,NA,ALGUNAS VECES AL MES,NA,NO,NA, ,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,5,0,5,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,NINGUNA,NO,1,SI,SI,500,500,0,SI,TODOS O CASI TODOS LOS DIAS,1,0,1,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,0,0,60,60,1,60,60,1,60,60,1,180,180,3,300,300,5,300,300,5,60,60,1
19,CENTRO,Mujer,63,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,900,900,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,5,NO USA,5,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,SI,SI,NO,SI,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,ALGUNOS DIAS POR SEMANA,NA,NO,NA, ,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,1,0,1,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,SI,600,600,0,SI,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,0,0,60,60,1,60,60,1,60,60,1,120,120,2,300,300,5,60,60,1,180,180,3
20,CENTRO,Varón,31,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",NS/NC,NS/NC,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,15,NO USA,15,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NA,NA,NA,SI,WHATSAPP, ,NUNCA,ALGUNA VEZ AL AÑO O MENOS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,4,0,4,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,NO,NS/NC,NS/NC,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,30,0.5,120,120,2,0,0,0,0,0,0,900,900,15,240,240,4,0,0,0
21,CENTRO,Varón,27,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,800,800,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,2,NO USA,2,NO USA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,SI,NO,NO,NO,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,0,30,0,30,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,SI,400,400,0,SI,ALGUNOS DIAS POR SEMANA,1,0,1,0,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,500,500,0,0,0,60,60,1,0,0,0,60,90,1.5,120,120,2,0,30,0.5,60,60,1
22,CENTRO,Varón,53,NO,PORQUE NO LE GUSTA, ,NO,NO,NA,NA,,NA,,0,NA,NA,NA,NA,,,0,NO USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NA,NA,,,,,,,,,,,,1,NINGUNA,SI,NINGUNO,NA,NA,,0,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,0,15,0.25,60,60,1,0,30,0.5,0,0,0,0,0,0,0,0,0
23,CENTRO,Varón,75,NO,PORQUE NO LO PUEDE PAGAR, ,NO,NO,NA,NA,,NA,,0,NA,NA,NA,NA,,,0,NO USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NA,NA,,,,,,,,,,,,NINGUNA,NINGUNA,NO,NINGUNO,NA,NA,,0,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,60,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
